Destination,Region,Suggested nights,Experience / plan,Food,Source URLs,Provenance,Instagram match
Kanazawa,Central Honshu,3–4 nights,Day 2: Higashi Chaya and Kazue-machi; book a tea or craft experience; sushi dinner.,"Seafood bowls, sushi, jibuni duck stew, Kaga vegetables and roasted bocha tea.",https://visitkanazawa.jp/en/getting-around-kanazawa ; https://visitkanazawa.jp/en/feature/detail_71.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kanazawa,Central Honshu,3–4 nights,"Day 3: Nagamachi samurai district, a museum and ceramics shopping.","Seafood bowls, sushi, jibuni duck stew, Kaga vegetables and roasted bocha tea.",https://visitkanazawa.jp/en/getting-around-kanazawa ; https://visitkanazawa.jp/en/feature/detail_71.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kanazawa,Central Honshu,3–4 nights,"Day 4 if staying longer: Toyama for glass and sushi, or a weather-flexible local day.","Seafood bowls, sushi, jibuni duck stew, Kaga vegetables and roasted bocha tea.",https://visitkanazawa.jp/en/getting-around-kanazawa ; https://visitkanazawa.jp/en/feature/detail_71.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kinosaki Onsen,Western Honshu,2 nights,"Arrival: reach the inn by 15:00–16:00, bathe, enjoy the included dinner and stroll beside the canal.","Crab, Tajima beef, seafood lunches and onsen snacks.",https://visitkinosaki.com/ ; https://visitkinosaki.com/plan/visitor-info/seasons/ ; https://visitkinosaki.com/trip-ideas/snow-crab-season-in-kinosaki-2/ ; https://new.visitkinosaki.com/about-kinosaki/the-7-mystic-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kinosaki Onsen,Western Honshu,2 nights,Full day: Onsenji Temple and ropeway if weather permits; seafood lunch; two or three different bathhouses.,"Crab, Tajima beef, seafood lunches and onsen snacks.",https://visitkinosaki.com/ ; https://visitkinosaki.com/plan/visitor-info/seasons/ ; https://visitkinosaki.com/trip-ideas/snow-crab-season-in-kinosaki-2/ ; https://new.visitkinosaki.com/about-kinosaki/the-7-mystic-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kinosaki Onsen,Western Honshu,2 nights,"Second evening: another bath, a quieter lane and an early night.","Crab, Tajima beef, seafood lunches and onsen snacks.",https://visitkinosaki.com/ ; https://visitkinosaki.com/plan/visitor-info/seasons/ ; https://visitkinosaki.com/trip-ideas/snow-crab-season-in-kinosaki-2/ ; https://new.visitkinosaki.com/about-kinosaki/the-7-mystic-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kurashiki + Okayama,Western Honshu,2 nights,Arrival: Bikan Historical Quarter and Honmachi lanes; dinner near the canal.,"Setouchi fish, local sake, udon and regional fruit when in season.",https://www.okayama-japan.jp/en/21658 ; https://www.okayama-japan.jp/en/27082,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kurashiki + Okayama,Western Honshu,2 nights,"Full day: Ohara Museum and small craft shops, or Okayama Korakuen for a garden-focused day.","Setouchi fish, local sake, udon and regional fruit when in season.",https://www.okayama-japan.jp/en/21658 ; https://www.okayama-japan.jp/en/27082,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Hiroshima + Miyajima,Western Honshu,2–3 nights,"Hiroshima: Peace Memorial Museum and Park, then an unhurried dinner.","Hiroshima-style okonomiyaki, oysters, anago rice and momiji manju.",https://www.miyajima.or.jp/english/spot/spot_momiji.html ; https://www.miyajima.or.jp/english/nature/nature_plant.html ; https://miyajima.or.jp/event/calendar11.php,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Hiroshima + Miyajima,Western Honshu,2–3 nights,"Miyajima: early ferry, Itsukushima Shrine timed to the tide, Daisho-in, Momijidani and island snacks.","Hiroshima-style okonomiyaki, oysters, anago rice and momiji manju.",https://www.miyajima.or.jp/english/spot/spot_momiji.html ; https://www.miyajima.or.jp/english/nature/nature_plant.html ; https://miyajima.or.jp/event/calendar11.php,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Hiroshima + Miyajima,Western Honshu,2–3 nights,"If weather and energy allow, add Mt Misen; do not force it into the ceremony day.","Hiroshima-style okonomiyaki, oysters, anago rice and momiji manju.",https://www.miyajima.or.jp/english/spot/spot_momiji.html ; https://www.miyajima.or.jp/english/nature/nature_plant.html ; https://miyajima.or.jp/event/calendar11.php,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Yamanaka / Kaga Onsen,Central Honshu,2–3 nights,"Arrival: shuttle from Kaga-Onsen Station, early check-in and a long bath.","Kaga seafood and vegetables, seasonal kaiseki and local sweets.",https://www.yamanaka-spa.or.jp/global/eng/view2.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Yamanaka / Kaga Onsen,Central Honshu,2–3 nights,Full day: Kakusenkei Gorge and Korogi Bridge; Yuge Kaido shops and lacquerware.,"Kaga seafood and vegetables, seasonal kaiseki and local sweets.",https://www.yamanaka-spa.or.jp/global/eng/view2.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Yamanaka / Kaga Onsen,Central Honshu,2–3 nights,Extra day: a craft-focused outing or an entirely unscheduled ryokan day.,"Kaga seafood and vegetables, seasonal kaiseki and local sweets.",https://www.yamanaka-spa.or.jp/global/eng/view2.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Fukuoka + Dazaifu,Kyushu,3–5 nights split around a loop,"City day: Ohori Park, Hakata old-town temples and a small yatai meal after dusk.","Hakata ramen, motsunabe, mizutaki, mentaiko and Dazaifu umegae mochi.",https://www.crossroadfukuoka.jp/en/articles/dazaifu_stroll ; https://sumo.pia.jp/en/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Fukuoka + Dazaifu,Kyushu,3–5 nights split around a loop,"Day trip: Dazaifu shrine approach, museum or local craft stop; leave time for snacks.","Hakata ramen, motsunabe, mizutaki, mentaiko and Dazaifu umegae mochi.",https://www.crossroadfukuoka.jp/en/articles/dazaifu_stroll ; https://sumo.pia.jp/en/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Fukuoka + Dazaifu,Kyushu,3–5 nights split around a loop,"Tournament day: reserve seats, arrive early enough to absorb the rituals and stay for the top-division bouts.","Hakata ramen, motsunabe, mizutaki, mentaiko and Dazaifu umegae mochi.",https://www.crossroadfukuoka.jp/en/articles/dazaifu_stroll ; https://sumo.pia.jp/en/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Karatsu,Kyushu,Day trip or 1 night,"From Fukuoka, allow roughly 1.5 hours each way and extra festival crowd time.",Seafood and Karatsu-style local cooking; Yobuko squid is a separate excursion.,https://www.karatsu-kankou.jp/ ; https://www.japan.travel/en/guide/november/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Karatsu,Kyushu,Day trip or 1 night,Choose a festival viewing area and spend the day with the procession rather than stacking distant sights.,Seafood and Karatsu-style local cooking; Yobuko squid is a separate excursion.,https://www.karatsu-kankou.jp/ ; https://www.japan.travel/en/guide/november/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Nagasaki,Kyushu,3 nights,"Day 1: Dejima, waterfront and Chinatown; champon dinner.","Champon, sara udon, castella and a shippoku meal if you want a special dinner.",https://www.discover-nagasaki.com/en/featured-topics/fooddiversity ; https://www.discover-nagasaki.com/en/featured-topics/nagasaki_festival,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Nagasaki,Kyushu,3 nights,"Day 2: Peace Park and Atomic Bomb Museum; a quiet afternoon, then Mt Inasa if visibility is good.","Champon, sara udon, castella and a shippoku meal if you want a special dinner.",https://www.discover-nagasaki.com/en/featured-topics/fooddiversity ; https://www.discover-nagasaki.com/en/featured-topics/nagasaki_festival,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Nagasaki,Kyushu,3 nights,"Day 3: Glover Garden and older hillside streets, or a pottery excursion instead.","Champon, sara udon, castella and a shippoku meal if you want a special dinner.",https://www.discover-nagasaki.com/en/featured-topics/fooddiversity ; https://www.discover-nagasaki.com/en/featured-topics/nagasaki_festival,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kumamoto + Aso gateway,Kyushu,2 nights,Arrival: castle grounds and a local ramen dinner.,"Kumamoto ramen, akaushi beef and karashi renkon.",https://www.kyusanko.co.jp/ryoko/busstop/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kumamoto + Aso gateway,Kyushu,2 nights,"Full day: Suizenji garden and city cafés; an Aso day trip is an alternative, not an extra obligation.","Kumamoto ramen, akaushi beef and karashi renkon.",https://www.kyusanko.co.jp/ryoko/busstop/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kurokawa Onsen,Kyushu,2 nights,Arrival: settle into the inn before dinner and use its baths.,"Ryokan kaiseki, local beef, mountain vegetables and tofu.",https://www.kurokawaonsen.or.jp/en/availability/ ; https://www.kurokawaonsen.or.jp/free/free.php?intFreeKey=312&intKKey=3,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kurokawa Onsen,Kyushu,2 nights,"Full day: village stroll, one or two outdoor baths using the onsen-hopping pass, light lunch and more time at the ryokan.","Ryokan kaiseki, local beef, mountain vegetables and tofu.",https://www.kurokawaonsen.or.jp/en/availability/ ; https://www.kurokawaonsen.or.jp/free/free.php?intFreeKey=312&intKKey=3,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Beppu + Yufuin,Kyushu,3 nights,Day 1: settle in Beppu and try a local bath.,"Jigoku-mushi steam-cooked food, toriten chicken and Oita seafood.",https://www.japan.travel/en/experiences-in-japan/2051/ ; https://www.kyushuandtokyo.org/route_19/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Beppu + Yufuin,Kyushu,3 nights,"Day 2: Kannawa steam lanes, a selected jigoku sightseeing pool and a steam-cooked lunch.","Jigoku-mushi steam-cooked food, toriten chicken and Oita seafood.",https://www.japan.travel/en/experiences-in-japan/2051/ ; https://www.kyushuandtokyo.org/route_19/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Beppu + Yufuin,Kyushu,3 nights,Day 3: Yufuin for Kinrin Lake and quieter lanes; return to the same Beppu hotel.,"Jigoku-mushi steam-cooked food, toriten chicken and Oita seafood.",https://www.japan.travel/en/experiences-in-japan/2051/ ; https://www.kyushuandtokyo.org/route_19/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Nikko,Eastern alternative,2 nights,"Day 1: Toshogu, Rinno-ji and Shinkyo area.","Yuba tofu skin, soba and local sweets.",https://www.visitnikko.jp/en/plan-your-trip/faqs/ ; https://www.visitnikko.jp/en/spots/rinnoji-temple-shoyoen-light-up/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Nikko,Eastern alternative,2 nights,"Day 2: Kanmangafuchi or a lower valley walk; choose high-lake excursions only for the scenery, not a guaranteed colour peak.","Yuba tofu skin, soba and local sweets.",https://www.visitnikko.jp/en/plan-your-trip/faqs/ ; https://www.visitnikko.jp/en/spots/rinnoji-temple-shoyoen-light-up/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shibu / Yudanaka Onsen,Eastern alternative,1–2 nights,"Stay in Shibu, collect the guest bath key and try a few of the nine small public baths.","Soba, oyaki, apples and inn dinners.",https://www.go-nagano.net/en/trip-idea/id16508,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shibu / Yudanaka Onsen,Eastern alternative,1–2 nights,Combine with Nagano’s temple area or the monkey park if it interests you.,"Soba, oyaki, apples and inn dinners.",https://www.go-nagano.net/en/trip-idea/id16508,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Ginzan Onsen,Northern alternative,1–2 nights,Arrive with time to walk the river and waterfall area before dark.,"Ryokan dinner, soba and Yamagata produce.",https://www.japan.travel/en/spot/1798/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Ginzan Onsen,Northern alternative,1–2 nights,Stay for the lamps after the day visitors leave and enjoy a slow inn breakfast.,"Ryokan dinner, soba and Yamagata produce.",https://www.japan.travel/en/spot/1798/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Onomichi / Setoda,Western alternative,2 nights,"Day 1: temple slopes, Senko-ji area and harbour streets.","Onomichi ramen, fish and Setouchi citrus.",https://www.japan.travel/en/spot/ma_180/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Onomichi / Setoda,Western alternative,2 nights,Day 2: take a ferry or cycle a chosen island section with a preplanned return.,"Onomichi ramen, fish and Setouchi citrus.",https://www.japan.travel/en/spot/ma_180/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Matsue + Tamatsukuri Onsen,Western alternative,3 nights,Castle and canal day in Matsue.,"Shijimi clams, Izumo soba, tea and wagashi.",https://www.japan.travel/en/destinations/chugoku/shimane/matsue-and-around/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Matsue + Tamatsukuri Onsen,Western alternative,3 nights,"Adachi Museum garden day, with transport timed in advance.","Shijimi clams, Izumo soba, tea and wagashi.",https://www.japan.travel/en/destinations/chugoku/shimane/matsue-and-around/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Matsue + Tamatsukuri Onsen,Western alternative,3 nights,Optional Tamatsukuri overnight or Izumo excursion.,"Shijimi clams, Izumo soba, tea and wagashi.",https://www.japan.travel/en/destinations/chugoku/shimane/matsue-and-around/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Koyasan,Western alternative,1–2 nights,Arrive for temple check-in and dinner.,Shojin ryori Buddhist vegetarian cooking.,https://www.japan.travel/en/itineraries/a-spiritual-journey-through-sacred-mountains/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Koyasan,Western alternative,1–2 nights,Walk Okunoin respectfully and join the lodging’s permitted morning activities.,Shojin ryori Buddhist vegetarian cooking.,https://www.japan.travel/en/itineraries/a-spiritual-journey-through-sacred-mountains/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kamikochi,Central Honshu,Optional day only,Choose a short valley walk near Kappa Bridge with a firm return-bus plan.,A warm lunch before the return bus.,https://www.nishiitoya.com/en/en-events/ ; https://www.kamikochi.org/news,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Minakami + Takaragawa Onsen,Eastern alternative,2 nights,"Arrival: train to Jomo-Kogen, reserved shuttle, check-in and riverside baths.","Ryokan seasonal meals, soba and Gunma apples.",https://www.visit-gunma.jp/en/discover/destinations/minakami/ ; https://www.takaragawa.com/e_daytrip.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Minakami + Takaragawa Onsen,Eastern alternative,2 nights,Full day: leave room for bathing; choose either Tanigawadake ropeway in suitable weather or a gentler local outing.,"Ryokan seasonal meals, soba and Gunma apples.",https://www.visit-gunma.jp/en/discover/destinations/minakami/ ; https://www.takaragawa.com/e_daytrip.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Minakami + Takaragawa Onsen,Eastern alternative,2 nights,"Doai Station and Yubara foot baths are additional saved leads, not a mandatory busy circuit.","Ryokan seasonal meals, soba and Gunma apples.",https://www.visit-gunma.jp/en/discover/destinations/minakami/ ; https://www.takaragawa.com/e_daytrip.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Karuizawa / Hoshino area,Eastern alternative,2–3 nights,"Hoshino day: Harunire Terrace, a Picchio nature activity if running, and Tombo-no-yu.","Shinshu soba, bakeries and seasonal local dishes.",https://hoshinoresorts.com/en/hotels/beb5karuizawa/activities/12882/ ; https://visitkaruizawa.com/en/things/seasons/fall/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Karuizawa / Hoshino area,Eastern alternative,2–3 nights,"Town day: Kumoba Pond, old Karuizawa lanes, cafés and an unhurried lunch.","Shinshu soba, bakeries and seasonal local dishes.",https://hoshinoresorts.com/en/hotels/beb5karuizawa/activities/12882/ ; https://visitkaruizawa.com/en/things/seasons/fall/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Karuizawa / Hoshino area,Eastern alternative,2–3 nights,"Keep the third day for walking and bathing, or shorten to two nights to add time at Fuji.","Shinshu soba, bakeries and seasonal local dishes.",https://hoshinoresorts.com/en/hotels/beb5karuizawa/activities/12882/ ; https://visitkaruizawa.com/en/things/seasons/fall/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Ito + Izu Kogen,Eastern alternative,3 nights,Day 1: arrive in Ito; heritage streets and an onsen evening.,"Seafood, dried fish breakfasts, soba and local wasabi.",https://exploreshizuoka.jp/en/ito-city-explore-izu-peninsulas-rugged-east-coast/ ; https://www.izuakazawa.jp/en/spa-health/higaeri-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Ito + Izu Kogen,Eastern alternative,3 nights,"Day 2: Mt Omuro crater rim, then an optional reserved food-making experience in Izu Kogen.","Seafood, dried fish breakfasts, soba and local wasabi.",https://exploreshizuoka.jp/en/ito-city-explore-izu-peninsulas-rugged-east-coast/ ; https://www.izuakazawa.jp/en/spa-health/higaeri-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Ito + Izu Kogen,Eastern alternative,3 nights,Day 3: Jogasaki Coast and Akazawa day onsen; check the last transport back. The zoo from your reel is an optional alternative.,"Seafood, dried fish breakfasts, soba and local wasabi.",https://exploreshizuoka.jp/en/ito-city-explore-izu-peninsulas-rugged-east-coast/ ; https://www.izuakazawa.jp/en/spa-health/higaeri-onsen/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shuzenji Onsen,Eastern alternative,2–3 nights,"Arrival: bamboo path, river bridges and Shuzenji temple; early ryokan check-in.","Wasabi soba, seasonal seafood and a deliberate ryokan dinner.",https://www.shuzenji-kankou.com/autumn.html ; https://shuzenji-kankou.com/stay.html ; https://www.asaba-ryokan.com/en/stay/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shuzenji Onsen,Eastern alternative,2–3 nights,"Full day: slow town walk, craft and café stops, then baths.","Wasabi soba, seasonal seafood and a deliberate ryokan dinner.",https://www.shuzenji-kankou.com/autumn.html ; https://shuzenji-kankou.com/stay.html ; https://www.asaba-ryokan.com/en/stay/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shuzenji Onsen,Eastern alternative,2–3 nights,"Optional extra day: nearby maple grounds if colouring, or a quieter stay with no scheduled outing.","Wasabi soba, seasonal seafood and a deliberate ryokan dinner.",https://www.shuzenji-kankou.com/autumn.html ; https://shuzenji-kankou.com/stay.html ; https://www.asaba-ryokan.com/en/stay/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kawaguchiko + Fuji views,Eastern alternative,2–3 nights,Clear morning: north-shore lake walk and Fuji views; afternoon craft museum or café.,"Hoto noodles, local produce and lake-area cafés.",https://www.japan.travel/en/destinations/tokai/yamanashi/fuji-five-lakes/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kawaguchiko + Fuji views,Eastern alternative,2–3 nights,Second day: another lake-side walk or a local bus excursion.,"Hoto noodles, local produce and lake-area cafés.",https://www.japan.travel/en/destinations/tokai/yamanashi/fuji-five-lakes/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kawaguchiko + Fuji views,Eastern alternative,2–3 nights,"Shiraito Falls near Fujinomiya is a separate, longer outing: arrange transport specifically rather than assuming it is next to Kawaguchiko.","Hoto noodles, local produce and lake-area cafés.",https://www.japan.travel/en/destinations/tokai/yamanashi/fuji-five-lakes/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Akiyoshido + Yamaguchi,Western alternative,1–2 nights,Travel to Shin-Yamaguchi and connect to the cave by a checked bus service or car.,Regional seafood and Yamaguchi local dishes.,https://akiyoshidai-park.com/en/spot/akiyoshi-do.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Akiyoshido + Yamaguchi,Western alternative,1–2 nights,Explore the public cave route; add the plateau if daylight and weather allow.,Regional seafood and Yamaguchi local dishes.,https://akiyoshidai-park.com/en/spot/akiyoshi-do.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Sado Island,Northern alternative,3 nights,Allow travel through Niigata and a ferry crossing.,"Seafood, rice and local sake.",https://www.japan.travel/en/destinations/hokuriku-shinetsu/niigata/sado-island/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Sado Island,Northern alternative,3 nights,Give the island two full days for coastal villages and cultural sights.,"Seafood, rice and local sake.",https://www.japan.travel/en/destinations/hokuriku-shinetsu/niigata/sado-island/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Sado Island,Northern alternative,3 nights,Choose a rental car or carefully checked bus plan before booking accommodation.,"Seafood, rice and local sake.",https://www.japan.travel/en/destinations/hokuriku-shinetsu/niigata/sado-island/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,Day 1: arrival and sleep; stay in one city hotel if its late check-in works.,"Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,Day 2: gentle Asakusa and Ueno or Yanaka; early dinner.,"Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,"Day 3: Jimbocho bookshops and curry, then Kagurazaka lanes.","Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,"Day 4: a contemporary-art/design or shopping day around one area, not the whole city.","Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,"Day 5: Kichijoji and Inokashira Park, with a reserved Sometime jazz evening if the programme suits.","Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Tokyo — a longer neighbourhood stay,Tokyo & Kyoto,5–7 nights total,"Additional day: a cooking class, neighbourhood cafés or Kawagoe; keep one unscheduled day.","Your Manma onigiri, Kamo to Negi ramen and Ginza sweet-potato saves; also small izakaya, soba and a deliberate sushi meal.",https://www.gotokyo.org/en/story/guide/autumn/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kyoto — slow culture and autumn walks,Tokyo & Kyoto,5–7 nights,"Arrival: central lanes, Kamo River and a relaxed meal.","Obanzai small dishes, yudofu, soba, wagashi, tea and one reserved seasonal dinner.",https://www.japan.travel/en/destinations/kansai/kyoto/ ; https://kyoto.travel/en/news/autumnleaves2024.html ; https://kyoto.travel/en/areas/takao/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
