url,region,places,note,evidence
https://www.instagram.com/mytokyolife_/reel/DdXhZW9SSV_/,Tokyo,"Maison Yuhi, Kanda; Azuki to Kouri",Kakigori dessert lead; operating details still to check.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/koyamas_travel10/reel/CzjYtOTyAcn/,Amagasaki,Udon Honoka,Outside Osaka city but not worth a dedicated detour for these routes.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/koyamas_travel10/reel/DZcjilozvdo/,Nagoya,Kanigin Meieki,Crab restaurant lead if travelling through Nagoya; no extra overnight needed.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/yonaeats/reel/DcBRBeopa0e/,Tokyo,Menchirashi; Gyukatsu Motomura; Nabezo,Three clear food pins; choose convenient branches and check reservations.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/jupywrld/reel/DbSZG06CGX9/,Tokyo,"Ramen Kamo to Negi, Ueno-Okachimachi",Named ramen pin; other clips not all identified.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/saltandshaikh/reel/DbNeRXOtjiM/,Tokyo,Ginza katsu sando,Restaurant name unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/absolutpunch/reel/DdLG3kZz6yT/,Kyoto,Gion Duck Noodles,Caption tags Tokyo but names Gion Duck Noodles; location needs care. Not included in regional routes.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/juheetumtum/reel/DcRENEdvZUF/,Tokyo,Princess Tart,Dessert lead; branch/address still to check.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/victoriaparis/reel/DaMWXNVPM9W/,Unresolved,No identifying caption,No location extracted.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/alexweldertravels/reel/DdJO5jiopQC/,Nationwide,Five restaurant chains,Specific chains not extracted from preview.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/luca_castagnini_/p/DdT9ZbmgK2u/,Gunma / Japan,Kusatsu Onsen,Saved alternative to Minakami; remaining carousel slides not fully reviewed.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/luca_castagnini_/reel/DdRg9ZjBkk1/,Japan,Ryokan booking advice,"Check exact meals, room and bathing arrangements; advice rather than a destination.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/gourmae.cafe/reel/Daxp9mHtDs4/,Tokyo,Ginza Tsuboyaki-imo,"Sweet-potato snack, Ginza 7-6-4.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/wanderingdonut/reel/Db9KrMFzynr/,Nagano,Jigokudani Onsen Korakukan,Winter monkey footage is not a November promise. Pair with Shibu if substituting.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/sookyeonhan/reel/DdAIrdCzGfW/,Tokyo,Jazz Haus Posy; Sometime; Jazz Nutty,"Evening listening options in Shimokitazawa, Kichijoji and Waseda; check live schedules.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/global.and.beyond.travel/reel/DbK-EUgT3xU/,Beppu,Jigokumushikobo Kannawa,"Excellent C match: cook food in onsen steam, then walk the Kannawa streets.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/reallife_una_japan/reel/Dc_DapTSIvt/,Tokyo,Conveyor-belt sushi,Chain not positively identified; advertised meal price not a current budget guarantee.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/tourjapanofficial/p/DdBkA--kxc2/,Gunma,Minakami; Tanigawadake; Takaragawa Onsen,Autumn scenery inspiration; high-elevation colour may be over by November.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/saltinourhair/reel/DcNyyJaM-DU/,Fuji / Fujinomiya,Shiraito Falls,Optional Fuji excursion. This is not the identically named Karuizawa waterfall.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/global.and.beyond.travel/reel/Dc-6HLgTEtZ/,Tokyo region / Japan,Kawagoe,Preview identifies Kawagoe; other destinations not yet extracted.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/hiro_no__tabi/reel/DdCouWhT9ma/,Tokyo,Free Tokyo activities,Specific venues unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/luca_castagnini_/reel/DcWTZM7M1q2/,Kanazawa / Japan,Kanazawa,Direct match for A and B; creator opinions are not objective rankings.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/naalaske/reel/DY2AiZQJufS/,Tokyo,Hotel Chinzanso Tokyo Garden,"Garden visit lead, not a recommendation to book an expensive hotel room.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/riku.chiyoya/reel/Da2pd-Gz0l_/,Fuji / Hakone,Kawaguchiko versus Hakone,"D uses Kawaguchiko; Hakone is a substitution, not another compulsory stop.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/hiro_no__tabi/reel/DbvgRZjz5he/,Tokyo,Restaurant chains,Chain names not available in caption.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/global.and.beyond.travel/reel/DdBmWVSTGZm/,Minakami,Takaragawa Onsen Osenkaku; Tanigawadake ropeway; Doai Station; Yubara foot baths,Full caption read. Strong D anchor. Mixed outdoor baths use bathing garments; reserve the inn shuttle.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/wanderingdonut/reel/Db_6jw9Bw7d/,Karuizawa,BEB5 Karuizawa; Tombo-no-yu; Harunire Terrace; Picchio,"Strong D match. Official BEB page currently lists Tombo-no-yu at ¥600 for guests, not automatically free.",Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/travel.with.leila/reel/Dczrn5DhRjk/,Japan,Onsen etiquette,General advice; no place pin.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/toa.tourjapan/reel/DcDyHdBpT49/,Tokyo,"Bomb Takoyaki, Ikebukuro",Casual snack lead.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/jiwon_travelog_/reel/Dc0TxLxyyXN/,Shuzenji,Asaba Ryokan — probable identification,Full caption read; a visible comment identifies Asaba and official architecture matches. Caption itself omits the name. Treat as luxury inspiration; do not budget it under €200.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/alexweldertravels/reel/DcvZ4_FIEl0/,Tokyo,"Nakiryu, Minamiotsuka",Named ramen pin. Historical/current Michelin status was not verified.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/jeffrey_in_nyc/reel/Db3RClmNSAO/,Kyoto,Buffet onsen hotel,Hotel name unresolved from caption.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/ellarosezohra/reel/DaKrbcFoKNA/,Tokyo,Vintage designer shopping,Exact shop unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/veraa.vlogs/reel/DbZb98qBCJe/,Tokyo,Harajuku shopping,Neighbourhood identified; individual shops unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/toidajapantravel/p/DcFZiGnB_Rr/,Tokyo,Accommodation neighbourhood guide,Carousel not fully reviewed; no hotel recommendation inferred.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/annnikakim/reel/DceDZrJzAtu/,Japan,Tabelog; Kuli Kuli; Google Maps; GO Taxi; Suica,Travel-tool inspiration; creator price/quality comparisons not independently verified.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/itsgracechin/reel/DZHqdGLRwQq/,Japan,Department-store discounts and secondhand shopping,Tax-free procedures change on 1 November 2026; do not rely on this reel for the new rules.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/voyla.app/reel/Dczooo_vT8G/,Unresolved,Temari cat izakaya,Venue city/address not established; not added as a confirmed map pin.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/naztalgique/reel/DcZmDM2PAXc/,Tokyo,Flea market,Market identity and operating dates unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/mytabi_travel/reel/DZ4S6ufz0GQ/,Hakone,Lake Ashi; onsen and kaiseki,Alternative to the Fuji/Izu block; do not use a one-hour headline as door-to-door timing.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/tangkarmen/p/DVEHkOBk9ZH/,Tokyo,"Tokyo design, restaurants, shopping and cafés",Carousel not fully reviewed; no comment/DM sent to request promotional map.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/thechaosdiaries/p/DRwvREiiF00/,Kyushu,Kyushu regional inspiration,Supports C; carousel place-by-place identification incomplete.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/visitjapaneseonsen/p/Dag4NvsEzL_/,Japan,Ten ryokan recommendations,Property names are not in preview; full carousel identification pending.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/marisekii/reel/DYH16VTiv6a/,Niigata,Sado Island,Beautiful separate 3-night module; ferry and island transport add complexity. Not bolted onto the main routes.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
